failure_id,machine_id,failure_date,failure_mode,downtime_hrs,repair_hrs,technician_id,root_cause,corrective_action,component,failure_type,technician_type,part_replaced,part_cost_usd,part_lead_time_days,time_to_diagnose_hrs
F00001,CNC-A1,2024-01-17,Spindle fault,2.16,1.54,TECH-003,Operator error,Vendor notified,spindle,mechanical,mechanical,spindle_bearing,321.23,6,0.43
F00002,CNC-A1,2024-02-07,Tool breakage,1.22,1.39,TECH-001,Operator error,Recalibration,tool_changer,mechanical,mechanical,tool_insert_set,94.28,2,0.08
F00003,CNC-A1,2024-02-11,Drive fault,1.34,1.27,TECH-007,Material defect,Operator retraining,servo_drive,electrical,electrical,servo_driver_board,1181.72,12,0.52
F00004,CNC-A1,2024-02-25,Spindle fault,1.82,1.47,TECH-007,Contamination,PM schedule updated,spindle,mechanical,mechanical,spindle_bearing,153.31,7,0.32
F00005,CNC-A1,2024-02-27,Tool breakage,2.19,1.43,TECH-007,Operator error,PM schedule updated,tool_changer,mechanical,mechanical,tool_insert_set,66.52,1,0.16
F00006,CNC-A1,2024-03-27,Axis calibration error,1.15,1.17,TECH-002,Overloading,Part replacement,servo_drive,software,automation,encoder_sensor,196.07,7,0.45
F00007,CNC-A1,2024-04-08,Coolant leak,2.1,1.13,TECH-004,Operator error,Part replacement,coolant_system,hydraulic,hydraulic,coolant_pump_seal,42.09,1,0.12
F00008,CNC-A1,2024-04-25,Spindle fault,1.99,0.64,TECH-002,Overloading,PM schedule updated,spindle,mechanical,mechanical,spindle_bearing,335.18,6,0.16
F00009,CNC-A1,2024-05-04,Coolant leak,1.94,1.35,TECH-004,Design limitation,Vendor notified,coolant_system,hydraulic,hydraulic,coolant_pump_seal,75.0,3,0.27
F00010,CNC-A1,2024-06-16,Spindle fault,1.43,1.17,TECH-004,Component wear,Operator retraining,spindle,mechanical,mechanical,spindle_bearing,352.21,5,0.31
F00011,CNC-A1,2024-06-23,Drive fault,2.44,1.47,TECH-004,Contamination,Part replacement,servo_drive,electrical,electrical,servo_driver_board,595.98,8,0.38
F00012,CNC-A1,2024-06-27,Coolant leak,2.18,1.55,TECH-002,Material defect,Design modification,coolant_system,hydraulic,hydraulic,coolant_pump_seal,37.57,2,0.26
F00013,CNC-A1,2024-07-30,Axis calibration error,1.54,1.9,TECH-008,Component wear,PM schedule updated,servo_drive,software,automation,encoder_sensor,185.54,4,0.69
F00014,CNC-A1,2024-08-01,Drive fault,1.78,1.13,TECH-007,Overloading,PM schedule updated,servo_drive,electrical,electrical,servo_driver_board,727.84,14,0.39
F00015,CNC-A1,2024-08-04,Tool breakage,2.34,1.49,TECH-001,Operator error,Recalibration,tool_changer,mechanical,mechanical,tool_insert_set,51.11,2,0.15
F00016,CNC-A1,2024-08-19,Tool breakage,1.92,1.2,TECH-007,Overloading,Design modification,tool_changer,mechanical,mechanical,tool_insert_set,54.29,1,0.14
F00017,CNC-A1,2024-11-14,Tool breakage,0.62,1.35,TECH-002,Design limitation,Vendor notified,tool_changer,mechanical,mechanical,tool_insert_set,72.16,1,0.16
F00018,CNC-A1,2024-11-20,Tool breakage,1.73,1.67,TECH-005,Component wear,Design modification,tool_changer,mechanical,mechanical,tool_insert_set,61.55,3,0.22
F00019,CNC-A1,2024-12-28,Drive fault,2.06,1.32,TECH-004,Component wear,PM schedule updated,servo_drive,electrical,electrical,servo_driver_board,1053.57,13,0.41
