year_month,machine_id,vsm,area,machine_type,component,failure_type,technician_type,part_replaced,failure_count,total_downtime_hrs,total_repair_hrs,mttr_component_hrs,avg_diagnose_hrs,avg_part_cost_usd,part_lead_time_days,total_downtime_cost,downtime_cost_per_hr,repeat_failure_90d,pct_of_total_cost,cumulative_pct
2024-06,AS-A1,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,0.94,0.66,0.66,0.22,57.75,1,84.6,90.0,True,0.0,0.0
2024-08,AS-A1,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,1.29,0.71,0.71,0.15,72.12,1,116.1,90.0,True,0.0,0.0
2024-09,AS-A1,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,0.99,0.54,0.54,0.11,80.66,2,89.1,90.0,True,0.0,0.0
2024-10,AS-A1,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,1,1.0,0.65,0.65,0.19,43.76,1,90.0,90.0,True,0.0,0.0
2024-12,AS-A1,Alpha,Assembly,Assembly Station,electrical_panel,electrical,electrical,circuit_breaker,2,1.8,1.61,0.8,0.24,69.31,2,162.0,90.0,True,0.0,0.0
2024-02,AS-A1,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,0.77,0.82,0.82,0.14,85.19,2,69.3,90.0,True,0.0,0.0
2024-05,AS-A1,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,0.68,0.75,0.75,0.21,58.14,2,61.2,90.0,True,0.0,0.0
2024-06,AS-A1,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,0.99,0.78,0.78,0.17,100.59,2,89.1,90.0,True,0.0,0.0
2024-07,AS-A1,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,0.63,0.66,0.66,0.14,62.23,2,56.7,90.0,True,0.0,0.0
2024-10,AS-A1,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,2,2.65,1.69,0.84,0.2,107.35,3,238.5,90.0,True,0.0,0.0
2024-11,AS-A1,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,1,0.74,0.72,0.72,0.17,127.53,4,66.6,90.0,True,0.0,0.0
2024-12,AS-A1,Alpha,Assembly,Assembly Station,fixture_system,mechanical,mechanical,fixture_pin_set,3,2.67,2.35,0.78,0.19,83.31,4,240.3,90.0,True,0.0,0.0
2024-05,AS-A1,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,2,2.56,2.22,1.11,0.11,17.93,1,230.4,90.0,True,0.0,0.0
2024-06,AS-A1,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,2,1.22,1.39,0.7,0.07,27.62,1,109.8,90.0,True,0.0,0.0
2024-09,AS-A1,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,1,1.12,0.94,0.94,0.05,12.28,2,100.8,90.0,True,0.0,0.0
2024-10,AS-A1,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,1,0.66,1.15,1.15,0.08,37.6,2,59.4,90.0,True,0.0,0.0
2024-12,AS-A1,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,1,1.16,1.11,1.11,0.07,22.39,1,104.4,90.0,True,0.0,0.0
2025-02,AS-A1,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,2,1.25,1.28,0.64,0.06,34.78,1,112.5,90.0,True,0.0,0.0
2025-04,AS-A1,Alpha,Assembly,Assembly Station,pneumatic_system,hydraulic,hydraulic,pneumatic_fitting,1,1.21,0.68,0.68,0.09,31.91,2,108.9,90.0,True,0.0,0.0
