year_month,machine_id,vsm,area,machine_type,failures_count,downtime_hrs,mtbf_hrs,mttr_hrs,availability_pct,downtime_cost_per_hr,monthly_downtime_cost,health_score,health_status
2024-01,CNC-A1,Alpha,Machining,CNC,1,2.16,741.8,1.54,99.71,210.0,453.6,98.9,Healthy
2024-02,CNC-A1,Alpha,Machining,CNC,4,6.57,172.4,1.39,99.06,210.0,1379.7,57.7,Monitor
2024-03,CNC-A1,Alpha,Machining,CNC,1,1.15,742.9,1.17,99.85,210.0,241.5,99.0,Healthy
2024-04,CNC-A1,Alpha,Machining,CNC,2,4.09,358.0,0.89,99.43,210.0,858.9,72.1,Healthy
2024-05,CNC-A1,Alpha,Machining,CNC,1,1.94,742.1,1.35,99.74,210.0,407.4,98.9,Healthy
2024-06,CNC-A1,Alpha,Machining,CNC,3,6.05,238.0,1.4,99.16,210.0,1270.5,63.0,Monitor
2024-07,CNC-A1,Alpha,Machining,CNC,1,1.54,742.5,1.9,99.79,210.0,323.4,98.9,Healthy
2024-08,CNC-A1,Alpha,Machining,CNC,3,6.04,246.0,1.27,99.19,210.0,1268.4,63.6,Monitor
2024-09,CNC-A1,Alpha,Machining,CNC,0,0.0,720.0,0.0,100.0,210.0,0.0,98.4,Healthy
2024-10,CNC-A1,Alpha,Machining,CNC,0,0.0,744.0,0.0,100.0,210.0,0.0,100.0,Healthy
2024-11,CNC-A1,Alpha,Machining,CNC,2,2.35,358.8,1.51,99.67,210.0,493.5,72.2,Healthy
2024-12,CNC-A1,Alpha,Machining,CNC,1,2.06,741.9,1.32,99.72,210.0,432.6,98.9,Healthy
2025-01,CNC-A1,Alpha,Machining,CNC,2,3.67,370.2,1.3,99.51,210.0,770.7,72.9,Healthy
2025-02,CNC-A1,Alpha,Machining,CNC,1,1.98,670.0,1.46,99.71,210.0,415.8,94.0,Healthy
2025-03,CNC-A1,Alpha,Machining,CNC,1,2.06,741.9,1.44,99.72,210.0,432.6,98.9,Healthy
2025-04,CNC-A1,Alpha,Machining,CNC,4,6.57,178.4,1.33,99.09,210.0,1379.7,58.1,Monitor
2024-01,CNC-A2,Alpha,Machining,CNC,4,6.26,184.4,1.2,99.16,210.0,1314.6,58.5,Monitor
2024-02,CNC-A2,Alpha,Machining,CNC,0,0.0,696.0,0.0,100.0,210.0,0.0,96.8,Healthy
2024-03,CNC-A2,Alpha,Machining,CNC,0,0.0,744.0,0.0,100.0,210.0,0.0,100.0,Healthy
2024-04,CNC-A2,Alpha,Machining,CNC,1,1.93,718.1,0.66,99.73,210.0,405.3,97.3,Healthy
2024-05,CNC-A2,Alpha,Machining,CNC,6,8.67,122.6,1.11,98.83,210.0,1820.7,52.4,Monitor
2024-06,CNC-A2,Alpha,Machining,CNC,1,1.33,718.7,1.37,99.82,210.0,279.3,97.3,Healthy
2024-07,CNC-A2,Alpha,Machining,CNC,4,6.21,184.4,1.23,99.17,210.0,1304.1,58.5,Monitor
2024-08,CNC-A2,Alpha,Machining,CNC,2,2.57,370.7,1.17,99.65,210.0,539.7,73.0,Healthy
2024-09,CNC-A2,Alpha,Machining,CNC,0,0.0,720.0,0.0,100.0,210.0,0.0,98.4,Healthy
2024-10,CNC-A2,Alpha,Machining,CNC,1,1.65,742.4,1.42,99.78,210.0,346.5,98.9,Healthy
2024-11,CNC-A2,Alpha,Machining,CNC,3,4.47,238.5,1.4,99.38,210.0,938.7,63.1,Monitor
2024-12,CNC-A2,Alpha,Machining,CNC,0,0.0,744.0,0.0,100.0,210.0,0.0,100.0,Healthy
2025-01,CNC-A2,Alpha,Machining,CNC,1,1.72,742.3,0.74,99.77,210.0,361.2,98.9,Healthy
2025-02,CNC-A2,Alpha,Machining,CNC,1,1.87,670.1,0.87,99.72,210.0,392.7,94.0,Healthy
2025-03,CNC-A2,Alpha,Machining,CNC,3,3.47,246.8,1.22,99.53,210.0,728.7,63.7,Monitor
2025-04,CNC-A2,Alpha,Machining,CNC,0,0.0,720.0,0.0,100.0,210.0,0.0,98.4,Healthy
2024-01,CNC-A3,Alpha,Machining,CNC,4,4.11,185.0,0.97,99.45,210.0,863.1,58.6,Monitor
2024-02,CNC-A3,Alpha,Machining,CNC,2,1.78,347.1,1.17,99.74,210.0,373.8,71.4,Healthy
2024-03,CNC-A3,Alpha,Machining,CNC,1,1.13,742.9,1.13,99.85,210.0,237.3,99.0,Healthy
2024-04,CNC-A3,Alpha,Machining,CNC,3,4.41,238.5,1.11,99.39,210.0,926.1,63.1,Monitor
2024-05,CNC-A3,Alpha,Machining,CNC,2,1.74,371.1,0.73,99.77,210.0,365.4,73.1,Healthy
2024-06,CNC-A3,Alpha,Machining,CNC,2,1.93,359.0,0.92,99.73,210.0,405.3,72.2,Healthy
2024-07,CNC-A3,Alpha,Machining,CNC,1,1.45,742.5,0.87,99.81,210.0,304.5,98.9,Healthy
2024-08,CNC-A3,Alpha,Machining,CNC,1,0.72,743.3,1.1,99.9,210.0,151.2,99.0,Healthy
2024-09,CNC-A3,Alpha,Machining,CNC,5,5.92,142.8,1.0,99.18,210.0,1243.2,54.8,Monitor
2024-10,CNC-A3,Alpha,Machining,CNC,0,0.0,744.0,0.0,100.0,210.0,0.0,100.0,Healthy
2024-11,CNC-A3,Alpha,Machining,CNC,3,3.78,238.7,1.08,99.48,210.0,793.8,63.2,Monitor
2024-12,CNC-A3,Alpha,Machining,CNC,5,7.07,147.4,1.1,99.05,210.0,1484.7,55.1,Monitor
2025-01,CNC-A3,Alpha,Machining,CNC,3,4.06,246.6,0.91,99.45,210.0,852.6,63.7,Monitor
2025-02,CNC-A3,Alpha,Machining,CNC,1,1.43,670.6,0.97,99.79,210.0,300.3,94.1,Healthy
2025-03,CNC-A3,Alpha,Machining,CNC,2,1.78,371.1,0.98,99.76,210.0,373.8,73.0,Healthy
2025-04,CNC-A3,Alpha,Machining,CNC,1,1.29,718.7,1.13,99.82,210.0,270.9,97.3,Healthy
2024-01,CNC-A4,Alpha,Machining,CNC,3,5.83,246.1,1.56,99.22,210.0,1224.3,63.6,Monitor
2024-02,CNC-A4,Alpha,Machining,CNC,4,5.28,172.7,1.62,99.24,210.0,1108.8,57.7,Monitor
2024-03,CNC-A4,Alpha,Machining,CNC,0,0.0,744.0,0.0,100.0,210.0,0.0,100.0,Healthy
2024-04,CNC-A4,Alpha,Machining,CNC,3,4.44,238.5,1.42,99.38,210.0,932.4,63.1,Monitor
2024-05,CNC-A4,Alpha,Machining,CNC,2,3.0,370.5,1.22,99.6,210.0,630.0,73.0,Healthy
2024-06,CNC-A4,Alpha,Machining,CNC,1,2.04,718.0,1.39,99.72,210.0,428.4,97.3,Healthy
2024-07,CNC-A4,Alpha,Machining,CNC,5,7.5,147.3,1.51,98.99,210.0,1575.0,55.1,Monitor
2024-08,CNC-A4,Alpha,Machining,CNC,4,6.75,184.3,1.19,99.09,210.0,1417.5,58.5,Monitor
2024-09,CNC-A4,Alpha,Machining,CNC,2,3.99,358.0,1.11,99.45,210.0,837.9,72.1,Healthy
2024-10,CNC-A4,Alpha,Machining,CNC,4,7.01,184.2,1.33,99.06,210.0,1472.1,58.5,Monitor
2024-11,CNC-A4,Alpha,Machining,CNC,4,6.02,178.5,1.45,99.16,210.0,1264.2,58.1,Monitor
2024-12,CNC-A4,Alpha,Machining,CNC,1,1.91,742.1,1.2,99.74,210.0,401.1,98.9,Healthy
2025-01,CNC-A4,Alpha,Machining,CNC,2,3.3,370.4,1.45,99.56,210.0,693.0,72.9,Healthy
2025-02,CNC-A4,Alpha,Machining,CNC,0,0.0,672.0,0.0,100.0,210.0,0.0,95.2,Healthy
2025-03,CNC-A4,Alpha,Machining,CNC,2,3.74,370.1,1.46,99.5,210.0,785.4,72.9,Healthy
2025-04,CNC-A4,Alpha,Machining,CNC,3,3.59,238.8,1.25,99.5,210.0,753.9,63.2,Monitor
2024-01,CNC-A5,Alpha,Machining,CNC,1,1.38,742.6,1.06,99.81,210.0,289.8,98.9,Healthy
2024-02,CNC-A5,Alpha,Machining,CNC,3,4.12,230.6,1.2,99.41,210.0,865.2,62.6,Monitor
2024-03,CNC-A5,Alpha,Machining,CNC,2,1.8,371.1,1.25,99.76,210.0,378.0,73.0,Healthy
2024-04,CNC-A5,Alpha,Machining,CNC,3,3.41,238.9,1.22,99.53,210.0,716.1,63.2,Monitor
2024-05,CNC-A5,Alpha,Machining,CNC,1,1.48,742.5,0.52,99.8,210.0,310.8,98.9,Healthy
2024-06,CNC-A5,Alpha,Machining,CNC,3,3.86,238.7,1.13,99.46,210.0,810.6,63.2,Monitor
2024-07,CNC-A5,Alpha,Machining,CNC,1,1.54,742.5,0.95,99.79,210.0,323.4,98.9,Healthy
2024-08,CNC-A5,Alpha,Machining,CNC,1,2.13,741.9,0.9,99.71,210.0,447.3,98.9,Healthy
2024-09,CNC-A5,Alpha,Machining,CNC,0,0.0,720.0,0.0,100.0,210.0,0.0,98.4,Healthy
2024-10,CNC-A5,Alpha,Machining,CNC,6,8.59,122.6,1.14,98.85,210.0,1803.9,52.4,Monitor
2024-11,CNC-A5,Alpha,Machining,CNC,3,4.87,238.4,1.0,99.32,210.0,1022.7,63.1,Monitor
2024-12,CNC-A5,Alpha,Machining,CNC,2,2.94,370.5,0.97,99.6,210.0,617.4,73.0,Healthy
2025-01,CNC-A5,Alpha,Machining,CNC,2,2.97,370.5,1.1,99.6,210.0,623.7,73.0,Healthy
2025-02,CNC-A5,Alpha,Machining,CNC,2,2.12,334.9,1.17,99.68,210.0,445.2,70.6,Healthy
2025-03,CNC-A5,Alpha,Machining,CNC,2,3.59,370.2,1.2,99.52,210.0,753.9,72.9,Healthy
2025-04,CNC-A5,Alpha,Machining,CNC,2,1.7,359.1,1.07,99.76,210.0,357.0,72.2,Healthy
2024-01,PB-A1,Alpha,Painting,Paint Booth,1,2.48,741.5,1.81,99.67,180.0,446.4,98.8,Healthy
2024-02,PB-A1,Alpha,Painting,Paint Booth,2,3.54,346.2,2.03,99.49,180.0,637.2,71.3,Healthy
2024-03,PB-A1,Alpha,Painting,Paint Booth,1,2.63,741.4,2.1,99.65,180.0,473.4,98.8,Healthy
2024-04,PB-A1,Alpha,Painting,Paint Booth,4,9.38,177.7,1.77,98.7,180.0,1688.4,57.9,Monitor
2024-05,PB-A1,Alpha,Painting,Paint Booth,2,4.09,370.0,1.75,99.45,180.0,736.2,72.9,Healthy
2024-06,PB-A1,Alpha,Painting,Paint Booth,7,16.54,100.5,2.16,97.7,180.0,2977.2,49.7,Monitor
2024-07,PB-A1,Alpha,Painting,Paint Booth,4,10.81,183.3,2.04,98.55,180.0,1945.8,58.2,Monitor
2024-08,PB-A1,Alpha,Painting,Paint Booth,3,8.38,245.2,2.24,98.87,180.0,1508.4,63.4,Monitor
2024-09,PB-A1,Alpha,Painting,Paint Booth,3,6.25,237.9,1.9,99.13,180.0,1125.0,63.0,Monitor
2024-10,PB-A1,Alpha,Painting,Paint Booth,3,8.17,245.3,1.62,98.9,180.0,1470.6,63.4,Monitor
2024-11,PB-A1,Alpha,Painting,Paint Booth,1,3.31,716.7,2.15,99.54,180.0,595.8,97.1,Healthy
2024-12,PB-A1,Alpha,Painting,Paint Booth,4,8.28,183.9,2.08,98.89,180.0,1490.4,58.4,Monitor
2025-01,PB-A1,Alpha,Painting,Paint Booth,5,11.05,146.6,2.18,98.51,180.0,1989.0,54.9,Monitor
2025-02,PB-A1,Alpha,Painting,Paint Booth,0,0.0,672.0,0.0,100.0,180.0,0.0,95.2,Healthy
2025-03,PB-A1,Alpha,Painting,Paint Booth,2,5.56,369.2,1.88,99.25,180.0,1000.8,72.8,Healthy
2025-04,PB-A1,Alpha,Painting,Paint Booth,2,6.01,357.0,2.17,99.17,180.0,1081.8,71.9,Healthy
2024-01,PB-A2,Alpha,Painting,Paint Booth,0,0.0,744.0,0.0,100.0,180.0,0.0,100.0,Healthy
2024-02,PB-A2,Alpha,Painting,Paint Booth,5,12.61,136.7,1.83,98.19,180.0,2269.8,54.1,Monitor
2024-03,PB-A2,Alpha,Painting,Paint Booth,2,3.35,370.3,1.71,99.55,180.0,603.0,72.9,Healthy
2024-04,PB-A2,Alpha,Painting,Paint Booth,0,0.0,720.0,0.0,100.0,180.0,0.0,98.4,Healthy
