date,vsm,shift,planned_hrs,actual_hrs,units_produced,units_rejected,oee_pct
2024-01-01,Alpha,Day,8.0,7.11,356,9,80.6
2024-01-01,Alpha,Evening,8.0,7.9,461,10,82.0
2024-01-01,Alpha,Night,8.0,7.87,394,7,93.7
2024-01-01,Beta,Day,8.0,6.69,365,11,71.4
2024-01-01,Beta,Evening,8.0,7.38,375,11,78.6
2024-01-01,Beta,Night,8.0,7.23,343,10,73.6
2024-01-01,Gamma,Day,8.0,6.99,376,15,67.0
2024-01-01,Gamma,Evening,8.0,7.19,362,18,71.1
2024-01-01,Gamma,Night,8.0,7.26,413,18,74.4
2024-01-02,Alpha,Day,8.0,7.26,388,1,84.7
2024-01-02,Alpha,Evening,8.0,7.74,469,6,88.0
2024-01-02,Alpha,Night,8.0,7.81,426,7,81.9
2024-01-02,Beta,Day,8.0,6.72,358,9,74.2
2024-01-02,Beta,Evening,8.0,7.24,346,9,75.6
2024-01-02,Beta,Night,8.0,7.3,333,12,77.1
2024-01-02,Gamma,Day,8.0,7.06,452,23,71.2
2024-01-02,Gamma,Evening,8.0,6.68,376,15,71.3
2024-01-02,Gamma,Night,8.0,6.68,333,16,70.9
2024-01-03,Alpha,Day,8.0,8.0,428,3,95.7
2024-01-03,Alpha,Evening,8.0,7.28,406,6,82.8
2024-01-03,Alpha,Night,8.0,7.64,400,6,91.3
2024-01-03,Beta,Day,8.0,7.08,342,10,75.9
2024-01-03,Beta,Evening,8.0,7.26,365,10,72.7
2024-01-03,Beta,Night,8.0,6.77,391,11,78.8
2024-01-03,Gamma,Day,8.0,6.71,338,13,69.1
2024-01-03,Gamma,Evening,8.0,6.77,378,19,64.8
2024-01-03,Gamma,Night,8.0,7.01,431,23,66.2
2024-01-04,Alpha,Day,8.0,7.44,401,9,89.5
2024-01-04,Alpha,Evening,8.0,7.38,415,4,96.0
2024-01-04,Alpha,Night,8.0,6.99,369,6,88.8
2024-01-04,Beta,Day,8.0,6.82,341,8,70.3
2024-01-04,Beta,Evening,8.0,7.09,402,13,70.7
2024-01-04,Beta,Night,8.0,7.16,459,11,73.9
2024-01-04,Gamma,Day,8.0,6.62,360,18,68.8
2024-01-04,Gamma,Evening,8.0,6.78,379,18,67.5
2024-01-04,Gamma,Night,8.0,6.49,309,14,67.1
2024-01-05,Alpha,Day,8.0,7.52,394,6,91.6
2024-01-05,Alpha,Evening,8.0,7.89,363,6,85.8
2024-01-05,Alpha,Night,8.0,7.78,344,5,85.8
2024-01-05,Beta,Day,8.0,7.18,424,12,76.2
2024-01-05,Beta,Evening,8.0,7.07,356,10,76.6
2024-01-05,Beta,Night,8.0,7.21,387,15,78.1
2024-01-05,Gamma,Day,8.0,6.85,374,18,74.3
2024-01-05,Gamma,Evening,8.0,6.86,384,16,61.5
2024-01-05,Gamma,Night,8.0,7.15,401,16,71.0
2024-01-06,Alpha,Day,8.0,7.85,412,8,86.4
2024-01-06,Alpha,Evening,8.0,7.8,363,5,92.9
2024-01-06,Alpha,Night,8.0,7.87,437,8,90.1
2024-01-06,Beta,Day,8.0,6.22,307,9,70.0
2024-01-06,Beta,Evening,8.0,6.74,336,12,68.9
2024-01-06,Beta,Night,8.0,7.27,379,12,78.2
2024-01-06,Gamma,Day,8.0,6.42,318,11,74.2
2024-01-06,Gamma,Evening,8.0,7.08,353,18,66.9
2024-01-06,Gamma,Night,8.0,6.28,358,17,66.5
2024-01-07,Alpha,Day,8.0,7.17,397,5,86.3
2024-01-07,Alpha,Evening,8.0,7.61,383,6,83.0
2024-01-07,Alpha,Night,8.0,8.0,408,6,91.9
2024-01-07,Beta,Day,8.0,7.01,335,8,79.3
2024-01-07,Beta,Evening,8.0,7.15,318,9,78.0
2024-01-07,Beta,Night,8.0,6.93,396,13,75.0
2024-01-07,Gamma,Day,8.0,6.56,269,15,71.3
2024-01-07,Gamma,Evening,8.0,6.87,357,16,72.5
2024-01-07,Gamma,Night,8.0,6.6,316,14,69.1
2024-01-08,Alpha,Day,8.0,7.55,435,10,77.4
2024-01-08,Alpha,Evening,8.0,7.68,417,6,89.2
2024-01-08,Alpha,Night,8.0,7.4,415,4,86.3
2024-01-08,Beta,Day,8.0,6.69,367,11,71.4
2024-01-08,Beta,Evening,8.0,6.98,395,11,71.7
2024-01-08,Beta,Night,8.0,6.76,322,12,81.1
2024-01-08,Gamma,Day,8.0,6.59,285,10,73.5
2024-01-08,Gamma,Evening,8.0,6.89,315,13,73.5
2024-01-08,Gamma,Night,8.0,6.8,339,18,61.7
2024-01-09,Alpha,Day,8.0,7.37,319,4,95.3
2024-01-09,Alpha,Evening,8.0,7.67,407,8,81.9
2024-01-09,Alpha,Night,8.0,7.56,379,9,92.0
2024-01-09,Beta,Day,8.0,7.27,406,15,70.5
2024-01-09,Beta,Evening,8.0,6.81,326,12,76.1
2024-01-09,Beta,Night,8.0,7.26,354,9,76.1
2024-01-09,Gamma,Day,8.0,6.89,391,16,73.6
2024-01-09,Gamma,Evening,8.0,6.83,327,14,65.0
2024-01-09,Gamma,Night,8.0,6.87,372,15,73.2
2024-01-10,Alpha,Day,8.0,7.48,469,6,86.0
2024-01-10,Alpha,Evening,8.0,7.61,409,6,86.6
2024-01-10,Alpha,Night,8.0,7.59,404,8,80.7
2024-01-10,Beta,Day,8.0,7.03,337,10,71.8
2024-01-10,Beta,Evening,8.0,7.1,374,13,69.9
2024-01-10,Beta,Night,8.0,7.37,372,12,77.5
2024-01-10,Gamma,Day,8.0,6.86,385,17,67.6
2024-01-10,Gamma,Evening,8.0,6.51,324,15,76.1
2024-01-10,Gamma,Night,8.0,6.95,364,18,77.2
2024-01-11,Alpha,Day,8.0,7.66,386,5,88.1
2024-01-11,Alpha,Evening,8.0,7.72,420,5,93.1
2024-01-11,Alpha,Night,8.0,7.7,412,6,86.4
2024-01-11,Beta,Day,8.0,7.21,359,8,80.8
2024-01-11,Beta,Evening,8.0,7.16,317,8,73.2
2024-01-11,Beta,Night,8.0,7.22,367,13,77.9
2024-01-11,Gamma,Day,8.0,6.41,343,14,70.1
2024-01-11,Gamma,Evening,8.0,6.66,358,17,70.4
2024-01-11,Gamma,Night,8.0,7.01,336,17,68.8
2024-01-12,Alpha,Day,8.0,7.49,374,8,84.0
2024-01-12,Alpha,Evening,8.0,7.7,367,8,87.1
2024-01-12,Alpha,Night,8.0,7.39,390,5,91.5
2024-01-12,Beta,Day,8.0,6.71,323,12,71.0
2024-01-12,Beta,Evening,8.0,7.12,413,13,72.3
2024-01-12,Beta,Night,8.0,7.59,372,10,73.8
2024-01-12,Gamma,Day,8.0,7.15,379,18,69.7
2024-01-12,Gamma,Evening,8.0,6.54,371,16,68.8
2024-01-12,Gamma,Night,8.0,6.83,362,19,71.6
2024-01-13,Alpha,Day,8.0,7.08,371,5,83.4
2024-01-13,Alpha,Evening,8.0,7.04,364,3,89.0
2024-01-13,Alpha,Night,8.0,7.39,339,7,83.4
2024-01-13,Beta,Day,8.0,6.93,376,7,72.3
2024-01-13,Beta,Evening,8.0,7.2,312,10,67.8
2024-01-13,Beta,Night,8.0,7.08,369,13,73.6
2024-01-13,Gamma,Day,8.0,6.72,356,13,67.3
2024-01-13,Gamma,Evening,8.0,6.69,374,14,75.8
2024-01-13,Gamma,Night,8.0,7.27,361,12,66.6
2024-01-14,Alpha,Day,8.0,7.87,439,7,85.3
2024-01-14,Alpha,Evening,8.0,8.0,382,6,81.8
2024-01-14,Alpha,Night,8.0,7.65,408,6,93.9
2024-01-14,Beta,Day,8.0,6.96,361,13,67.1
2024-01-14,Beta,Evening,8.0,6.38,294,11,76.6
2024-01-14,Beta,Night,8.0,6.71,348,12,76.3
2024-01-14,Gamma,Day,8.0,6.54,308,14,71.4
2024-01-14,Gamma,Evening,8.0,7.16,324,16,69.1
2024-01-14,Gamma,Night,8.0,6.8,338,17,74.0
2024-01-15,Alpha,Day,8.0,7.46,374,6,88.1
2024-01-15,Alpha,Evening,8.0,7.58,389,6,86.4
2024-01-15,Alpha,Night,8.0,7.66,419,7,82.7
2024-01-15,Beta,Day,8.0,6.87,365,14,71.4
2024-01-15,Beta,Evening,8.0,7.08,391,13,77.2
2024-01-15,Beta,Night,8.0,7.05,371,13,78.6
2024-01-15,Gamma,Day,8.0,6.7,328,13,69.7
2024-01-15,Gamma,Evening,8.0,6.83,338,15,70.4
2024-01-15,Gamma,Night,8.0,6.58,332,11,68.8
2024-01-16,Alpha,Day,8.0,7.72,370,6,88.7
2024-01-16,Alpha,Evening,8.0,7.33,364,9,87.7
2024-01-16,Alpha,Night,8.0,7.68,455,10,86.9
